Site_ID,Site_Name,Site_Name_Japanese,Latitude,Longitude,Lat,Long
S144,Tama New Town 450,多摩ニュータウン No.450,353755,1392602,35.3755,139.2602
S146,Tama New Town 125,多摩ニュータウン No.125,353726,1392335,35.3726,139.2335
S147,Tama New Town 939,多摩ニュータウン No.939,353601,1392204,35.3601,139.2204
S148,Tama New Town 300,多摩ニュータウン No.300,353650,1392258,35.365,139.2258
S149,Tama New Town 113•115,多摩ニュータウン No.113•115,353727,1392251,35.3727,139.2251
S150,Tama New Town 245,多摩ニュータウン No.245,353606,1392149,35.3606,139.2149
S151,Tama New Town 341,多摩ニュータウン No.341,353608,1392155,35.3608,139.2155
S152,Tama New Town 107,多摩ニュータウン No.107,353736,1392314,35.3736,139.2314
S153,Tama New Town 339,多摩ニュータウン No.339,353603,1392159,35.3603,139.2159
S154,Tama New Town 210,多摩ニュータウン No.210,353557,1392223,35.3557,139.2223
S155,Tama New Town 520,多摩ニュータウン No.520,353736,1392752,35.3736,139.2752
S156,Tama New Town 237•962,多摩ニュータウン No.237•962,353630,1392050,35.363,139.205
S245,Tama New Town 3,多摩ニュータウン No.3,353804,1392921,35.3804,139.2921
S246,Tama New Town 769,多摩ニュータウン No.769,353734,1392552,35.3734,139.2552
S247,Tama New Town 512,多摩ニュータウン No.512,353725,1392315,35.3725,139.2315
S248,Tama New Town 630,多摩ニュータウン No.630,353723,1392311,35.3723,139.2311
S249,Tama New Town 433,多摩ニュータウン No.433,353739,1392340,35.3739,139.234
S250,Tama New Town 406,多摩ニュータウン No.406,353647,1392228,35.3647,139.2228
S251,Tama New Town 796,多摩ニュータウン No.796,353747,1392355,35.3747,139.2355
S255,Tama New Town 496,多摩ニュータウン No.496,353719,1392240,35.3719,139.224
S256,Tama New Town 243•244,多摩ニュータウン No.243•244,353605,1392156,35.3605,139.2156
S257,Tama New Town 471•472,多摩ニュータウン No.471•472,353723,1392822,35.3723,139.2822
S258,Tama New Town 304,多摩ニュータウン No.304,353633,1392142,35.3633,139.2142
S259,Tama New Town 67,多摩ニュータウン No.67,353757,1392453,35.3757,139.2453
S260,Tama New Town 950,多摩ニュータウン No.950,353608,1392142,35.3608,139.2142
S263,Tama New Town 293,多摩ニュータウン No.293,353657,1392229,35.3657,139.2229
S264,Tama New Town 72,多摩ニュータウン No.72,353747,1392355,35.3747,139.2355
S265,Tama New Town 114,多摩ニュータウン No.114,353724,1392251,35.3724,139.2251
S266,Tama New Town 446,多摩ニュータウン No.446,353804,1392411,35.3804,139.2411
S267,Tama New Town 475•476,多摩ニュータウン No.475•476,353727,1392825,35.3727,139.2825
S268,Tama New Town 246,多摩ニュータウン No.246,353609,1392151,35.3609,139.2151
S269,Tama New Town 72•795•796,多摩ニュータウン No.72•795•796,353747,1392355,35.3747,139.2355
S270,Tama New Town 27,多摩ニュータウン No.27,353752,1392643,35.3752,139.2643
S271,Tama New Town 213,多摩ニュータウン No.213,353708,1392155,35.3708,139.2155
S272,Tama New Town 9,多摩ニュータウン No.9,353733,1392837,35.3733,139.2837
S273,Tama New Town 191,多摩ニュータウン No.191,353538,1392310,35.3538,139.231
S274,Tama New Town 960,多摩ニュータウン No.960,353623,1392058,35.3623,139.2058
S275,Tama New Town 20,多摩ニュータウン No.20,353726,1392724,35.3726,139.2724
S276,Tama New Town 105,多摩ニュータウン No.105,353743,1392340,35.3743,139.234
S277,Tama New Town 235,多摩ニュータウン No.235,353623,1392055,35.3623,139.2055
S278,Tama New Town 432•907•908,多摩ニュータウン No.432•907•908,353754,1392325,35.3754,139.2325