"","UniqueID","site_name_rom","phase_start","phase_end","total_0_4","total_over_5","total_5_19","n","ratio_5_19","ratio_0_5"
"1","Arayashiki Shellmound","Arayashiki Shellmound",-5415,-4395,0,1,0,1,0,0
"2","Ariyoshikita Shellmound","Ariyoshikita Shellmound",-5415,-4395,0.4,6.6,1.26666666666667,7,0.191919191919192,0.0606060606060606
"3","Ariyoshikita Shellmound.1","Ariyoshikita Shellmound",-5310,-5270,0,3,0,3,0,0
"4","Ariyoshikita Shellmound.2","Ariyoshikita Shellmound",-5310,-4860,0,1,0,1,0,0
"5","Ariyoshikita Shellmound.3","Ariyoshikita Shellmound",-5310,-4730,0,1,0,1,0,0
"6","Ariyoshikita Shellmound.4","Ariyoshikita Shellmound",-5310,-4490,0.4,0.6,0.6,1,1,0.666666666666667
"7","Ariyoshikita Shellmound.5","Ariyoshikita Shellmound",-4950,-4860,0,2,0,2,0,0
"8","Ariyoshikita Shellmound.6","Ariyoshikita Shellmound",-4950,-4490,0,1,0,1,0,0
"9","Ariyoshikita Shellmound.7","Ariyoshikita Shellmound",-4860,-4730,0,1,0,1,0,0
"10","Ariyoshikita Shellmound.8","Ariyoshikita Shellmound",-4730,-4540,0,2,0,2,0,0
"11","Bandouyama Site","Bandouyama Site",-4490,-3220,0,1,0,1,0,0
"12","Chidorikubo Shellmound","Chidorikubo Shellmound",-5415,-4395,0,5,0,5,0,0
"13","Fuyugi A Site","Fuyugi A Site",-4490,-3220,0,1,1,1,1,0
"14","Gongenbara","Gongenbara",-4540,-4490,2,0,0,2,NA,Inf
"15","Gongenbara.1","Gongenbara",-4490,-4395,0,20,8,20,0.4,0
"16","Gongenbara.2","Gongenbara",-4490,-3900,0,3,0,3,0,0
"17","Gongenbara.3","Gongenbara",-4235,-4050,1.4,1.6,0.6,3,0.375,0.875
"18","Heigen Shellmound","Heigen Shellmound",-4490,-3220,0,1,0,1,0,0
"19","Hirasaka Shellmound","Hirasaka Shellmound",-15540,-7050,0,1,0,1,0,0
"20","Hoji Site","Hoji Site",-3220,-2385,0,1,0,1,0,0
"21","Horinouchi Shellmound","Horinouchi Shellmound",-4490,-3220,0,3,0,3,0,0
"22","Horinouchi Shellmound.1","Horinouchi Shellmound",-4235,-4050,0,2,0,2,0,0
"23","Horinouchi Shellmound.2","Horinouchi Shellmound",-4235,-3900,0.4,7.6,0.6,8,0.0789473684210526,0.0526315789473684
"24","Kainohana Shellmound","Kainohana Shellmound",-4540,-4395,0,4,0,4,0,0
"25","Kainohana Shellmound.1","Kainohana Shellmound",-4540,-4235,0,5,0.666666666666667,5,0.133333333333333,0
"26","Kainohana Shellmound.2","Kainohana Shellmound",-4490,-4235,4.2,16.8,2.13333333333333,21,0.126984126984127,0.25
"27","Kainohana Shellmound.3","Kainohana Shellmound",-4490,-3643,0,2,0,2,0,0
"28","Kainohana Shellmound.4","Kainohana Shellmound",-4490,-3220,0,2,0,2,0,0
"29","Kainohana Shellmound.5","Kainohana Shellmound",-4067,-3643,0,6,0,6,0,0
"30","Kainohana Shellmound.6","Kainohana Shellmound",-3855,-3220,2,2,0,4,0,1
"31","Karasuhorikomi Shellmound","Karasuhorikomi Shellmound",-5415,-4395,1,0,0,1,NA,Inf
"32","Kitamura Site","Kitamura Site",-4730,-4540,0,5,1,5,0.2,0
"33","Kitamura Site.1","Kitamura Site",-4730,-4235,0,9,2.66666666666667,9,0.296296296296296,0
"34","Kitamura Site.2","Kitamura Site",-4730,-4050,0,15,2,15,0.133333333333333,0
"35","Kitamura Site.3","Kitamura Site",-4730,-3900,0,3,0,3,0,0
"36","Kitamura Site.4","Kitamura Site",-4540,-4050,0,2,0,2,0,0
"37","Kitamura Site.5","Kitamura Site",-4490,-4235,1,18,2.88888888888889,19,0.160493827160494,0.0555555555555556
"38","Kitamura Site.6","Kitamura Site",-4490,-3750,1,8,1,9,0.125,0.125
"39","Kitamura Site.7","Kitamura Site",-4235,-4050,0,26,0,26,0,0
"40","Kitamura Site.8","Kitamura Site",-4235,-3900,0,1,0,1,0,0
"41","Kitamura Site.9","Kitamura Site",-4235,-3750,0,16,3.88888888888889,16,0.243055555555556,0
"42","Kitamura Site.10","Kitamura Site",-4050,-3900,0,1,0,1,0,0
"43","Kitamura Site.11","Kitamura Site",-4050,-3750,0,23,5.66666666666667,23,0.246376811594203,0
"44","Kitamura Site.12","Kitamura Site",-3900,-3750,0,9,2,9,0.222222222222222,0
"45","Kokanzawa Shellmound","Kokanzawa Shellmound",-4490,-3220,0,2,0,2,0,0
"46","Kokuzo Shellmound","Kokuzo Shellmound",-5415,-4395,0,1,1,1,1,0
"47","Kosaku Old Shellmound","Kosaku Old Shellmound",-4490,-4395,1,0,0,1,NA,Inf
"48","Kosaku Old Shellmound.1","Kosaku Old Shellmound",-4490,-3643,1,1,0,2,0,1
"49","Kosaku Old Shellmound.2","Kosaku Old Shellmound",-4490,-3220,4,25,0,29,0,0.16
"50","Kosaku Old Shellmound.3","Kosaku Old Shellmound",-4235,-3900,0,1,0,1,0,0
"51","Kosaku Old Shellmound.4","Kosaku Old Shellmound",-3900,-3420,0,5,1,5,0.2,0
"52","Kowashimizu Shellmound","Kowashimizu Shellmound",-5415,-4395,0,2,0,2,0,0
"53","Koyamadai Shellmound","Koyamadai Shellmound",-5415,-4395,0,2,0,2,0,0
"54","Koyamadai Shellmound.1","Koyamadai Shellmound",-4490,-3220,0,5,0,5,0,0
"55","Kurawa Site","Kurawa Site",-5415,-4395,0,2,0,2,0,0
"56","Kuriyadai Site","Kuriyadai Site",-5415,-4395,0,1,0,1,0,0
"57","Kuroya Shellmound","Kuroya Shellmound",-7050,-5415,0.75,0.25,0.25,1,1,3
"58","Kusakari Shellmound","Kusakari Shellmound",-5415,-4395,0,1,0,1,0,0
"59","Kusakari Shellmound.1","Kusakari Shellmound",-5310,-5270,0.733333333333333,16.266666667,3.93333333333333,17,0.24180327868357,0.045081967212191
"60","Kusakari Shellmound.2","Kusakari Shellmound",-5310,-4860,1,5,1,6,0.2,0.2
"61","Kusakari Shellmound.3","Kusakari Shellmound",-5310,-4490,0,1,0,1,0,0
"62","Kusakari Shellmound.4","Kusakari Shellmound",-5230,-5100,0,1,0,1,0,0
"63","Kusakari Shellmound.5","Kusakari Shellmound",-4950,-4860,0.5,8.5,0.5,9,0.0588235294117647,0.0588235294117647
"64","Kusakari Shellmound.6","Kusakari Shellmound",-4950,-4730,0.833333333333333,2.166666667,0.166666666666667,3,0.0769230769112426,0.384615384556213
"65","Kusakari Shellmound.7","Kusakari Shellmound",-4950,-4490,0,1,0,1,0,0
"66","Kusakari Shellmound.8","Kusakari Shellmound",-4860,-4730,0.4,2.6,0.933333333333333,3,0.358974358974359,0.153846153846154
"67","Kusakari Shellmound.9","Kusakari Shellmound",-4730,-4540,0,4,0,4,0,0
"68","Kusakariba Shellmound","Kusakariba Shellmound",-4490,-3220,2,0,0,2,NA,Inf
"69","Minamitsubo Shellmound","Minamitsubo Shellmound",-4490,-3220,0,3,0.75,3,0.25,0
"70","Mitandashizuka Shellmound","Mitandashizuka Shellmound",-4490,-3220,0,3,1,3,0.333333333333333,0
"71","Miyamotodai Shellmound","Miyamotodai Shellmound",-4235,-4050,0,1,0,1,0,0
"72","Miyamotodai Shellmound.1","Miyamotodai Shellmound",-4050,-3900,1.63333333333333,29.366666667,4.36666666666667,31,0.148694665151547,0.0556186152093573
"73","Miyazaki Site","Miyazaki Site",-3220,-2385,0.75,7.25,1,8,0.137931034482759,0.103448275862069
"74","Mizugo Shellmound","Mizugo Shellmound",-7050,-5415,0,1,0,1,0,0
"75","Myoonji Cave","Myoonji Cave",-15540,-7050,0,1,0,1,0,0
"76","Nakabyo Shellmound","Nakabyo Shellmound",-5310,-5270,0,1,0,1,0,0
"77","Nakabyo Shellmound.1","Nakabyo Shellmound",-4950,-4860,2.4,25.6,6.26666666666667,28,0.244791666666667,0.09375
"78","Nakatsuma Shellmound","Nakatsuma Shellmound",-4490,-3220,14.25,79.75,18.25,94,0.22884012539185,0.178683385579937
"79","Nakatsuma Shellmound.1","Nakatsuma Shellmound",-3220,-2385,0,1,0,1,0,0
"80","Nakazawa Shellmound","Nakazawa Shellmound",-4490,-3220,0.4,1.6,0.6,2,0.375,0.25
"81","Nakazawa Shellmound.1","Nakazawa Shellmound",-4235,-3900,0.4,3.6,0.6,4,0.166666666666667,0.111111111111111
"82","Nego Shellmound","Nego Shellmound",-5310,-5270,0,1,0.333333333333333,1,0.333333333333333,0
"83","Nego Shellmound.1","Nego Shellmound",-5230,-5100,0,6,0,6,0,0
"84","Nego Shellmound.2","Nego Shellmound",-4950,-4860,0,1,0,1,0,0
"85","North Kasori Shellmound","North Kasori Shellmound",-5415,-4395,0,5,1,5,0.2,0
"86","North Kasori Shellmound.1","North Kasori Shellmound",-5310,-4950,0.4,3.6,0.6,4,0.166666666666667,0.111111111111111
"87","North Kasori Shellmound.2","North Kasori Shellmound",-4950,-4860,0,2,0,2,0,0
"88","North Kasori Shellmound.3","North Kasori Shellmound",-4950,-4730,0,1,0,1,0,0
"89","North Kasori Shellmound.4","North Kasori Shellmound",-4860,-4730,0.8,2.2,1.2,3,0.545454545454545,0.363636363636364
"90","North Kasori Shellmound.5","North Kasori Shellmound",-4235,-4050,1,2,0,3,0,0.5
"91","Okawa Site","Okawa Site",-5415,-4395,0,1,0,1,0,0
"92","Okkoshi Shellmound","Okkoshi Shellmound",-7050,-5415,0,2,1,2,0.5,0
"93","Saihiro Shellmound","Saihiro Shellmound",-5415,-3220,0,1,0,1,0,0
"94","Saihiro Shellmound.1","Saihiro Shellmound",-4490,-3220,19.4,18.6,3.6,38,0.193548387096774,1.04301075268817
"95","Saihiro Shellmound.2","Saihiro Shellmound",-4490,-2385,0,1,0,1,0,0
"96","Saihiro Shellmound.3","Saihiro Shellmound",-4235,-4050,0,1,0,1,0,0
"97","Saihiro Shellmound.4","Saihiro Shellmound",-4235,-3900,0,8,0,8,0,0
"98","Saihiro Shellmound.5","Saihiro Shellmound",-4235,-3420,0,2,0,2,0,0
"99","Saihiro Shellmound.6","Saihiro Shellmound",-3220,-2385,0,1,0,1,0,0
"100","Saihiro Shellmound.7","Saihiro Shellmound",-3130,-3065,0,1,0,1,0,0
"101","Saihiro Shellmound.8","Saihiro Shellmound",-3065,-2990,0,1,0,1,0,0
"102","Satada Shellmound","Satada Shellmound",-5415,-4395,0,6,1,6,0.166666666666667,0
"103","Sendaborisamukaze Shellmound","Sendaborisamukaze Shellmound",-5415,-4395,0,2,0.75,2,0.375,0
"104","Shinmei Shellmound","Shinmei Shellmound",-4490,-3220,0,2,0,2,0,0
"105","Shiraiomiya Shellmound","Shiraiomiya Shellmound",-5415,-4395,0.75,1.25,0.25,2,0.2,0.6
"106","Shironodaiminami Shellmound","Shironodaiminami Shellmound",-15540,-7050,0,2,0,2,0,0
"107","Shomyoji Shellmound","Shomyoji Shellmound",-4490,-3220,3.5,7.5,1.5,11,0.2,0.466666666666667
"108","Sonno Shellmound","Sonno Shellmound",-4235,-3900,0.4,7.6,0.6,8,0.0789473684210526,0.0526315789473684
"109","South Kasori Shellmound","South Kasori Shellmound",-4490,-3220,0,1,0,1,0,0
"110","South Kasori Shellmound.1","South Kasori Shellmound",-4235,-4050,1.6,8.4,2.4,10,0.285714285714286,0.19047619047619
"111","South Kasori Shellmound.2","South Kasori Shellmound",-4235,-3900,0,1,0,1,0,0
"112","South Kasori Shellmound.3","South Kasori Shellmound",-3900,-3750,0.4,1.6,0.6,2,0.375,0.25
"113","South Kasori Shellmound.4","South Kasori Shellmound",-3900,-3420,0.4,5.6,0.6,6,0.107142857142857,0.0714285714285714
"114","South Kasori Shellmound.5","South Kasori Shellmound",-3750,-3525,0,1,0,1,0,0
"115","South Kasori Shellmound.6","South Kasori Shellmound",-3420,-3370,0.4,0.6,0.6,1,1,0.666666666666667
"116","South Kasori Shellmound.7","South Kasori Shellmound",-3370,-3220,0,1,0,1,0,0
"117","Soya Shellmound","Soya Shellmound",-4490,-3220,0,1,0,1,0,0
"118","Takanekido Shellmound","Takanekido Shellmound",-4950,-4860,0,4,0,4,0,0
"119","Takanekido Shellmound.1","Takanekido Shellmound",-4860,-4730,0,4,0,4,0,0
"120","Tenjinmae Site","Tenjinmae Site",-7050,-5415,0,1,0,1,0,0
"121","Tobinodai Shellmound","Tobinodai Shellmound",-15540,-7050,0,2,1,2,0.5,0
"122","Tochibaraiwakage Site","Tochibaraiwakage Site",-15540,-7050,3.5,2.5,0.5,6,0.2,1.4
"123","Toyosawa Shellmound","Toyosawa Shellmound",-4490,-3220,0,2,0,2,0,0
"124","Tsuheijinimami Shellmound","Tsuheijinimami Shellmound",-5415,-4395,0,2,0,2,0,0
"125","Ubayama Shellmound","Ubayama Shellmound",-4950,-4490,2.8,19.2,3.53333333333333,22,0.184027777777778,0.145833333333333
"126","Ubayama Shellmound.1","Ubayama Shellmound",-4950,-3420,0.4,4.6,0.6,5,0.130434782608696,0.0869565217391304
"127","Ubayama Shellmound.2","Ubayama Shellmound",-4235,-3900,1,3,0,4,0,0.333333333333333
"128","Ubayama Shellmound.3","Ubayama Shellmound",-3900,-3420,0,24,5,24,0.208333333333333,0
"129","Uchino Site","Uchino Site",-3370,-3220,0,4,0,4,0,0
"130","Uchino Site.1","Uchino Site",-3370,-3130,1,7,0,8,0,0.142857142857143
"131","Warabitachi Site","Warabitachi Site",-5310,-5270,0,1,0,1,0,0
"132","Warabitachi Site.1","Warabitachi Site",-4950,-4860,0,1,0,1,0,0
"133","Warabitachi Site.2","Warabitachi Site",-4860,-4730,0.4,3.6,0.6,4,0.166666666666667,0.111111111111111
"134","Yahagi Shellmound","Yahagi Shellmound",-4235,-4050,0.4,3.6,1.6,4,0.444444444444444,0.111111111111111
"135","Yahagi Shellmound.1","Yahagi Shellmound",-4235,-3900,0,8,2,8,0.25,0
"136","Yahagi Shellmound.2","Yahagi Shellmound",-4050,-3900,0,1,0,1,0,0
"137","Yamakura Shellmound","Yamakura Shellmound",-5415,-4395,1,1,0,2,0,1
"138","Yamakura Shellmound.1","Yamakura Shellmound",-4950,-4860,0,1,0,1,0,0
"139","Yamakura Shellmound.2","Yamakura Shellmound",-4950,-4490,1,4,2,5,0.5,0.25
"140","Yamakura Shellmound.3","Yamakura Shellmound",-4860,-4730,0,3,1,3,0.333333333333333,0
"141","Yamakura Shellmound.4","Yamakura Shellmound",-4730,-4540,0.266666666666667,2.733333333,0.733333333333333,3,0.268292682959548,0.0975609756216538
