Prefecture,Region,Area,Initial,Early,Middle,Late,Final,Unitendified J,K Jomon Total,Yayoi,Haji,,C Jomon Total,C Jomon Total w UIJ
Aomori,Tohoku,9614,60,195,293,489,263,71,934,38,285,,1300,1371
Iwate,Tohoku,15376,57,193,518,442,445,338,1452,88,395,,1655,1993
Miyagi,Tohoku,7289,83,165,298,211,278,324,953,208,,,1035,1359
Akita,Tohoku,11609,7,100,214,159,289,138,733,39,,,769,907
Yamagata,Tohoku,9325,25,104,380,163,212,206,919,45,576,,884,1090
Fukushima,Tohoku,13871,17,44,242,360,158,641,1324,179,456,,821,1462
Ibaraki,Kanto,6087,95,121,439,292,61,311,1058,305,752,,1008,1319
Tochigi,Kanto,6413,165,287,308,274,72,376,991,148,584,,1106,1482
Gunma,Kanto,6336,50,118,250,134,29,617,1038,248,557,,581,1198
Saitama,Kanto,3799,291,421,1065,429,49,,1986,293,1785,,2255,2255
Chiba,Kanto,5100,90,94,269,396,29,221,903,69,318,,878,1099
Tokyo,Kanto,2143,349,571,1210,426,69,360,1994,295,845,,2625,2985
Kanagawa,Kanto,2383,173,170,436,197,12,418,1131,410,654,,988,1406
Niigata,Hokuriku,12577,41,119,761,522,154,216,1507,154,660,,1597,1813
Toyama,Hokuriku,4252,3,24,128,57,35,128,364,29,76,,247,375
Ishikawa,Hokuriku,4196,5,22,83,67,22,498,680,103,585,,199,697
Fukui,Hokuriku,4188,3,10,54,8,3,5,69,84,10,,78,83
Yamanashi,Chubu,4463,29,145,296,107,18,,359,31,,,595,595
Nagano,Chubu,13954,237,796,2408,633,120,1732,3773,1245,1206,,4194,5926
Gifu,Chubu,11296,111,114,291,178,112,376,807,227,,,806,1182
Shizuoka,Tokai,9292,201,116,394,176,69,515,1218,537,426,,956,1471
Aichi,Tokai,5105,77,93,156,141,206,208,694,450,,,673,881
Mie,Kinki,5772,20,33,65,80,19,312,442,536,329,,217,529
Shiga,Kinki,4061,4,6,6,16,6,37,60,110,166,,38,75
Kyoto,Kinki,4612,1,9,8,13,6,11,39,129,65,,37,48
Osaka,Kinki,1855,2,3,4,5,5,20,44,204,16,,19,39
Hyogo,Kinki,8359,2,5,6,8,10,128,142,434,129,,31,159
Nara,Kinki,3692,4,7,9,35,25,15,60,204,,,80,95
Wakayama,Kinki,4772,2,9,20,26,17,85,163,317,125,,74,159
Tottori,Chugoku,3491,3,3,1,7,4,20,31,86,7,,18,38
Shimane,Chugoku,6626,5,15,19,23,38,28,69,91,105,,100,128
Okayama,Chugoku,7083,26,15,19,31,23,16,86,237,74,,114,130
Hiroshima,Chugoku,8449,9,6,7,28,15,16,56,290,44,,65,81
Yamaguchi,Chugoku,6090,10,15,5,9,4,26,61,346,311,,43,69
Tokushima,Shikoku,4144,1,1,1,7,2,,10,53,,,12,12
Kagawa,Shikoku,1875,2,4,4,15,2,,23,45,,,27,27
Ehime,Shikoku,5661,20,10,2,84,15,,106,259,,,131,131
Kochi,Shikoku,7106,7,3,3,5,2,,17,181,,,20,20
Fukuoka,Kyushu,4934,36,13,16,27,50,120,228,257,,,142,262
Saga,Kyushu,2416,14,15,11,15,16,65,106,172,,,71,136
Nagasaki,Kyushu,4098,17,22,24,27,40,6,227,252,,,130,136
Kumamoto,Kyushu,7391,68,43,44,120,99,285,576,472,164,,374,659
Oita,Kyushu,6326,30,8,7,32,20,,89,42,,,97,97
Miyazaki,Kyushu,7734,23,13,24,43,9,,77,94,,,112,112
Kagoshima,Kyushu,9151,55,119,95,155,27,87,397,588,98,,451,538
,,,,,,,,,,,,,,
Totals,,294366,2530,4399,10893,6672,3159,8976,27996,10624,11803,0,27653,36629